card_id,source,doi,summary,reaction_scope,variable_scope,target_nodes,confidence,allowed_use,source_type,leakage_risk
suzuki_lit_001,"Barder et al., Journal of the American Chemical Society, 2005",10.1021/ja042491j,"SPhos is a strong general-purpose ligand for coupling aryl and heteroaryl halides with aryl, heteroaryl, or vinyl boronic acids.",suzuki-miyaura cross-coupling,Ligand,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_002,"Barder and Buchwald, Organic Letters, 2004",10.1021/ol0491686,SPhos is particularly effective for aryl or heteroaryl chlorides coupled with potassium aryl or heteroaryl trifluoroborates.,suzuki-miyaura cross-coupling,Electrophile | Nucleophile | Ligand,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_003,"Wolfe et al., Journal of the American Chemical Society, 1999",10.1021/ja992130h,Bulky electron-rich biphenyl phosphines can activate aryl chlorides at low temperature and low palladium loading.,suzuki-miyaura cross-coupling,Electrophile | Ligand,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_004,"Billingsley and Buchwald, Journal of the American Chemical Society, 2007",10.1021/ja068577p,"Specialized monophosphine catalysts are preferred for heteroaryl-halide and heteroaryl-boron combinations, particularly with chlorides or steric hindrance.",suzuki-miyaura cross-coupling,Electrophile | Nucleophile | Ligand,design_init_experiments | stagnation_diagnosis | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_005,"Kinzel et al., Journal of the American Chemical Society, 2010",10.1021/ja1073799,A rapidly activating palladium precatalyst can improve coupling of unstable boronic acids by minimizing their exposure to degrading conditions.,suzuki-miyaura cross-coupling,Nucleophile | Ligand,hypothesis_action | stagnation_diagnosis | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_006,"Kinzel et al., Journal of the American Chemical Society, 2010",10.1021/ja1073799,XPhos-type active catalyst systems are strong candidates for polyfluoroaryl and five-membered 2-heteroaryl boronic acids.,suzuki-miyaura cross-coupling,Nucleophile | Ligand,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_007,"Billingsley and Buchwald, Journal of the American Chemical Society, 2007",10.1021/ja068577p,Coordinating heteroarenes often require ligands that preserve a reactive low-coordinate palladium species.,suzuki-miyaura cross-coupling,Electrophile | Nucleophile | Ligand,stagnation_diagnosis | hypothesis_action | reflection_action,medium,advisory,literature,clean_literature_prior
suzuki_lit_008,"Hoshi et al., The Journal of Organic Chemistry, 2013",10.1021/jo402089r,"Electron-rich, sterically hindered, or coordinating aryl chlorides can benefit from a long-lived bulky electron-rich phosphine catalyst.",suzuki-miyaura cross-coupling,Electrophile | Ligand,stagnation_diagnosis | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_009,"Hoshi et al., The Journal of Organic Chemistry, 2013",10.1021/jo402089r,Extreme ortho congestion can redirect palladium chemistry away from Suzuki coupling rather than merely lowering conversion.,suzuki-miyaura cross-coupling,Electrophile | Ligand,semantic_assessment | verification_pass | stagnation_diagnosis,medium,advisory,literature,clean_literature_prior
suzuki_lit_010,"Neufeldt et al., The Journal of Organic Chemistry, 2019",10.1021/acs.joc.9b01692,SIPr can favor Suzuki-Miyaura coupling at aryl chloride over aryl triflate in chloroaryl triflates.,suzuki-miyaura cross-coupling,Electrophile | Ligand,hypothesis_action | shortlist_rerank | verification_pass,high,advisory,literature,clean_literature_prior
suzuki_lit_011,"Neufeldt et al., The Journal of Organic Chemistry, 2019",10.1021/acs.joc.9b01692,SIMes can favor Suzuki-Miyaura coupling at aryl triflate over aryl chloride in chloroaryl triflates.,suzuki-miyaura cross-coupling,Electrophile | Ligand,hypothesis_action | shortlist_rerank | verification_pass,high,advisory,literature,clean_literature_prior
suzuki_lit_012,"So et al., ACS Catalysis, 2021",10.1021/acscatal.1c02146,A tailored phosphine can reverse the usual electrophile preference and deliver C-Cl coupling in the presence of C-OTf.,suzuki-miyaura cross-coupling,Electrophile | Ligand,hypothesis_action | shortlist_rerank | verification_pass,high,advisory,literature,clean_literature_prior
suzuki_lit_013,"So et al., ACS Catalysis, 2021",10.1021/acscatal.1c02146,Three-dimensional steric architecture within a phosphine can be decisive for Suzuki-Miyaura chemoselectivity.,suzuki-miyaura cross-coupling,Electrophile | Ligand,semantic_assessment | hypothesis_action | reflection_action,medium,advisory,literature,clean_literature_prior
suzuki_lit_014,"Fujii et al., The Journal of Organic Chemistry, 2019",10.1021/acs.joc.9b01306,Phosphine choice can switch the coupling position in pyrazoles containing both bromide and triflate sites.,suzuki-miyaura cross-coupling,Electrophile | Ligand,hypothesis_action | shortlist_rerank | verification_pass,high,advisory,literature,clean_literature_prior
suzuki_lit_015,"Barder et al., Journal of the American Chemical Society, 2005",10.1021/ja042491j,Electron-rich sterically demanding biaryl monophosphines should outrank triphenylphosphine-like ligands for difficult aryl chloride couplings.,suzuki-miyaura cross-coupling,Electrophile | Ligand,design_init_experiments | shortlist_rerank | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_016,"Basu et al., Green Chemistry, 2010",10.1039/C0GC00122H,Ligand-free palladium conditions can be viable for aryl iodides and bromides when sodium aryl trihydroxyboronates are used in water.,suzuki-miyaura cross-coupling,Electrophile | Nucleophile | Ligand | Solvent,design_init_experiments | hypothesis_action | semantic_assessment,high,advisory,literature,clean_literature_prior
suzuki_lit_017,"Wolfe et al., Journal of the American Chemical Society, 1999",10.1021/ja992130h,Aryl chloride coupling can proceed at room temperature when oxidative addition is supported by a highly electron-rich bulky monophosphine.,suzuki-miyaura cross-coupling,Electrophile | Ligand,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_018,"Barder and Buchwald, Organic Letters, 2004",10.1021/ol0491686,SPhos is useful for coupling 3-pyridyl trifluoroborate nucleophiles with aryl and heteroaryl chlorides.,suzuki-miyaura cross-coupling,Electrophile | Nucleophile | Ligand,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_019,"Kinzel et al., Journal of the American Chemical Society, 2010",10.1021/ja1073799,Catalyst activation rate should be matched to nucleophile lifetime; unstable boronic acids favor precatalysts that generate active Pd(0) rapidly.,suzuki-miyaura cross-coupling,Nucleophile | Ligand,stagnation_diagnosis | hypothesis_action | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_020,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,"For sp3 boron nucleophiles, ligand systems that accelerate reductive elimination can help outcompete beta-hydride elimination.",suzuki-miyaura cross-coupling,Nucleophile | Ligand,hypothesis_action | stagnation_diagnosis | shortlist_rerank,medium,advisory,literature,clean_literature_prior
suzuki_lit_021,"Carrow and Hartwig, Journal of the American Chemical Society, 2011",10.1021/ja1108326,"Under weak-base aqueous conditions, transmetalation is favored between an arylpalladium hydroxide and a neutral boronic acid.",suzuki-miyaura cross-coupling,Base | Solvent | Nucleophile,hypothesis_action | semantic_assessment | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_022,"Cox et al., Journal of the American Chemical Society, 2016",10.1021/jacs.6b03283,Strongly basic aqueous conditions can sharply accelerate protodeboronation for specific heteroaryl boronic acids.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,semantic_assessment | verification_pass | stagnation_diagnosis,high,advisory,literature,clean_literature_prior
suzuki_lit_023,"Cox et al., Journal of the American Chemical Society, 2016",10.1021/jacs.6b03283,2-Pyridyl and 5-thiazolyl boronic acids are acutely vulnerable in aqueous media and should not be exposed to reaction conditions for long periods.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,semantic_assessment | verification_pass | hypothesis_action,high,advisory,literature,clean_literature_prior
suzuki_lit_024,"Cox et al., Journal of the American Chemical Society, 2016",10.1021/jacs.6b03283,3-Pyridyl and 4-pyridyl boronic acids are substantially more tolerant of basic aqueous conditions than 2-pyridyl analogues.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,semantic_assessment | shortlist_rerank | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_025,"Chen et al., Journal of the American Chemical Society, 2017",10.1021/jacs.7b07687,Acutely base-sensitive polyfluoroaryl and heteroaryl boronic acids can benefit from cationic Suzuki-Miyaura conditions that reduce reliance on conventional base.,suzuki-miyaura cross-coupling,Nucleophile | Base,hypothesis_action | stagnation_diagnosis | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_026,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,"Base and heat accelerate MIDA-boronate hydrolysis, so both variables control release of the active boronic acid.",suzuki-miyaura cross-coupling,Nucleophile | Base,hypothesis_action | lab_batch_composition | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_027,"Knapp et al., Journal of the American Chemical Society, 2009",10.1021/ja901416p,Overly rapid MIDA hydrolysis can erase its slow-release advantage and recreate decomposition of the free boronic acid.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,stagnation_diagnosis | hypothesis_action | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_028,"Lennox and Lloyd-Jones, Journal of the American Chemical Society, 2012",10.1021/ja300236k,Organotrifluoroborate hydrolysis must be kinetically matched to catalytic turnover; release that is too fast or too slow can reduce yield.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,hypothesis_action | stagnation_diagnosis | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_029,"Lennox and Lloyd-Jones, Journal of the American Chemical Society, 2012",10.1021/ja300236k,"Cs2CO3 in THF-water gives strongly substrate-dependent organotrifluoroborate hydrolysis, so one recipe is not general across R groups.",suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,design_init_experiments | semantic_assessment | verification_pass,high,advisory,literature,clean_literature_prior
